artist,title,writer,publisher,theme
Billy Lee and the Ramblers,Trav'lin,Billy Lee,publishing pending,
Tom Carter and the Ramrods,Twistin' Boogie,Tom Carter,publishing pending,
Tom and The Tornadoes,Long Pony Tail,C. Tharp|G. Tomsco,Sure-Fire Music Co. BMI,
Tom and The Tornadoes,Judy,Tom Jackson,publishing pending,
Esquerita,You Better Believe Me,Georgantones,"Metric Bira, BMI"
Esquerita,Little Richard Interview,radio interview,"Hoody, BMI"
Art Adams and the Rhythm Knights,Rock Crazy Baby,Stone,publishing pending
Art Adams and the Rhythm Knights,Indian Joe,Curly|Adams,publishing pending
Art Adams and the Rhythm Knights,Dancing Doll,Adams|Stone,Publishing pending
Art Adams and the Rhythm Knights,She Don't Live Here No More,Curly,publishing pending
"A-bones, The",Rockin' Satellite,E. Watkins,publishing pending
Jackie & the Cedrics,Tall Dark Stranger,Buck Owens,publishing pending
Jackie & the Cedrics,Rip It Out!,Cedrics,publishing pending
Jackie & the Cedrics,SS396,Adessa-Beney,publishing pending
Melvin Davis,I Won't Come Crawling Back To You,M. Davis,"Leola Music, BMI"
Melvin Davis,I Don't Want You,M. Davis,"Leola Music, BMI"
The Siamese Twins Yvonne and Yvette,After It's All Over,DAR,publishing pending
The Siamese Twins Yvonne and Yvette,He's Sweet I Know,writer pending,publishing pendng
The Siamese Twins Yvonne and Yvette,Your Mother,Willia B. Jones McCarther,publishing pendng
The Siamese Twins Yvonne and Yvette,We are Workers For The Lord,Mother Of Siamese Twins,publishing pending
"Renegades, The",Cadillac,Brown|Gibson|Johnson|Mallet,publishing pending
"Renegades, The",I Was There,Lindskog,publishing pending
"Renegades, The",Thirteen Women,Dickie Thompson,publishing pending
"Renegades, The",Can't You See,Brown|Gibson|Johnson|Mallet,publishing pending
"Flamin Groovies, The",Baby Scratch My Back,J. Moore,publishing pending
"Nautiloids, The",Nautiloid Reef,Rick Fulton,publishing pending
"Nautiloids, The",Nautiloid Surf,Rick Fulton,publishing pending
Myron Lee and the Caddies,Homicide,Myron Wachendorf,North Star Publishing BMI
Myron Lee and the Caddies,Aw C'mon Baby,Myron Wachendorf,North Star Publishing BMI
"Ideals, the",The Gorilla,Pitman|Murray|Williams,Frederick Music BMI
"Ideals, the",Mo Gorilla,The Ideals,Venetia Music BMI
"Fred Wolff Combo, The",Somebody Else Was Suckin' My Dick Last Night,Wolff,publishing pending
"Fred Wolff Combo, The",Scratchin' And Whammin',Wolff,publishing pending
Joe Johnson,Gila Monster,E. Carrell|G. McClendon,"Seashore Music, BMI"
Bob Norris,Party Time,S. Hoffman|B. Horris,publishing pending
Joe Johnson,Cool Love,E. Carrell|G. McClendon,publishing pending
Tommy Knackin and The Four Jets,"Worry, Worry, Worry",Morey Bernstein,publishing pending,
Joe Johnson,Gila Monster (alt version),E. Carrell|G. McClendon,publishing pending,
Three Dimensions,Alone,Vic Gorgano,publishing pending,
Knights Of New Crusade,(Christmas At)Montsegur,Dinkinson|Gers|Harris,publishing pending,holiday|christmas
Knights Of New Crusade,Three Magi Of Damascus,Knights Of The New Crusade,publishing pending,holiday|christmas
Hasil Adkins and his Happy Guitar,Get Out Of My Car,Hasil Adkins,publishing pending,
Hasil Adkins and his Happy Guitar,Shake That Thing,Hasil Adkins,publishing pending,
Hurricane Marty,Hurricane Rock,Hurricane Marty,publishing pending,
Hurricane Marty,Calypso Baby Rock,Hurricane Marty,publishing pending,
"Tandoori Knights, The",I Hear Someone Cry,B.B Khan,publishing pending,
"Tandoori Knights, The",Bhaji Blues,B.B Khan,publishing pending,
"Tandoori Knights, The",Wild Wild East,B.B Khan,publishing pending,
