title,artist,catalogue,writer,publisher,theme
Monkey's Uncle ,The A-Bones ,CED-219,R. Sharpe
Rockin' This Joint To-Nite ,Various Artists ,,T. Louis
Rock Man (Tribute to Gene Vincent) ,Ron Haydock & The Boppers ,CED 247,Ron Haydock
The Wanderer ,King Uszniewicz And His Uszniewicztones/South Bay Surfers ,ED-359,E. Maresca 
Say Honey ,Various Artists ,ED-374,Fuller 
Just A Moment ,Various Artists ,CED274,Ozuna
Who The Heck ,The A-Bones ,CED-233,Allen
The Slip ,Various Artists ,CNW-906,
Fireball Mail ,Charlie Feathers ,CED246,Acuff
Happy New Year To You! (45 Version) ,Sun Ra ,CED-353,"Sun Ra, A. Abraham "
Gossip Gossip Gossip ,Benny Joy ,ED-347,Benny Joy Eidson-Eddie King
World of Pain ,Figures of Light ,ED-377,"Wheeler Dixon, Michael Downey "
She Said Yeah ,Various Artists ,CED304,
The Bad And The Good ,Link Wray ,CED-211,"F.L. Wray, Sr."
Dexter's Lament ,Flat Duo Jets ,CED-230,Dex Romweber
O My Soul (Live) ,Big Star ,CED265,Chilton
Wah-Hey ,The A-Bones ,CED-310,J. Hovorka
Cold Cold Heart ,Charlie Feathers ,CED-333,H. Williams
Perfect Love ,John Felice & The Lowdowns ,CED-302,J. Felice
The Wind ,Various Artists ,Norton/The Wind 002,Strong-Eubanks-Guiterriez-Hunter-Edwards 
Outta Place ,The Real Kids ,CED286,J. Felice
Fly Catcher ,The Hentchmen ,CED-237,The Hentchmen
Teenage Boogie ,Various Artists ,CNW-911,
Susie Q (1956 demo version) ,Dale Hawkins ,CED-256,
Shanghai'd ,Bobby Fuller ,CED260,
Road House (Live) ,The Flamin' Groovies ,CED 255,
Beat Guitar ,The Wailers ,CNW 901,
Twist Fever ,"Arch Hall, Jr. & The Archers ",CED307,
Don't Talk To Strangers ,The Real Kids ,CED-231,
Good Time ,Various Artists ,CED-317,James T. Shaw
My Woodie ,The Ready Men ,CED244,
You're Everything To Me ,The Alarm Clocks ,CED-321,Mike Pierce
Surfer's Rule ,Kim Fowley ,CED-356,K. Fowley 
Kiss Me ,Benny Joy ,ED-349,John Taylor
We're Gonna Get Married ,A-Bones ,CED-310,McDaniel 
Goin' Steady Ring ,The Mad Daddy ,CED300,P. Myers
She Said ,Hasil Adkins ,CED-201,Hasil Adkins
You Only Live Twice ,Flat Duo Jets ,CED-230,
Iron Cross ,The Untamed Youth ,CED263,
All Night Long ,The A-Bones ,CED-310,Shell
Little Girl Gone ,Various Artists ,,
The Music Is A Universal Language ,Sun Ra ,ED-366,Sun Ra 
Bald Headed Benny ,T. Valentine ,ED-387,"T. Valentine, M. Akturk, B. Hurd, J. Styles "
Chicken Blues 1999 ,Hasil Adkins ,CED281,Hasil Adkins
Voodoo ,Various Artists ,CED-235,
Sonics Dance Ad ,The Sonics ,CNW-909,
tattoo ,Link Wray ,CED-253,"F.L. Wray, Sr."
Nervous Breakdown ,Bobby Fuller ,CED252,Roccuzzo
Gonna Find My Way ,Various Artists ,ED 344,x
Rompin' ,Various Artists ,CED-271,Curtiss
The Choppers ,"Arch Hall, Jr. & The Archers ",CED307,
Froggy ,The A-Bones ,CED-224,Traditional - arr: A-Bones
Hang Out ,Various Artists ,CED-314,Arnold
Border Town Blues ,Long John Hunter ,CED270,Hunter
My Testament ,Various Artists ,,
Easy Payments ,Various Artists ,CED-910,
Nobody Knows You When You're Down and Out ,Esquerita ,ED-381,Jimmy Cox 
I Love A Practical Joke ,The Mad Daddy ,CED300,****
Slam ,Various Artists ,CED-227,Therrien
TGIF (Thank Goodness It's Friday) ,Various Artists ,CED - 287,D. Brown
Are You For Real? ,Various Artists ,,Martinez
Golden Clouds ,The Flamin' Groovies ,CED 243,Loney
She Can't See ,Various Artists ,ED-362,James Street Overpass 
